customer_id,customer_name,country,city,customer_segment
CUST00001,Customer 00001,Portugal,Valencia,Distributor
CUST00002,Customer 00002,Morocco,Fes,Distributor
CUST00003,Customer 00003,France,Tangier,Distributor
CUST00004,Customer 00004,Portugal,Tangier,Retail
CUST00005,Customer 00005,France,Marrakesh,Wholesale
CUST00006,Customer 00006,Spain,Rabat,Wholesale
CUST00007,Customer 00007,Spain,Paris,Retail
CUST00008,Customer 00008,Portugal,Marrakesh,Retail
CUST00009,Customer 00009,France,Istanbul,Retail
CUST00010,Customer 00010,Portugal,Casablanca,Restaurant
CUST00011,Customer 00011,Spain,Milan,Retail
CUST00012,Customer 00012,Portugal,Paris,Distributor
CUST00013,Customer 00013,Portugal,Tangier,Retail
CUST00014,Customer 00014,Spain,Madrid,Retail
CUST00015,Customer 00015,Spain,Milan,Restaurant
CUST00016,Customer 00016,Portugal,Agadir,Restaurant
CUST00017,Customer 00017,Portugal,Marrakesh,Retail
CUST00018,Customer 00018,France,Agadir,Wholesale
CUST00019,Customer 00019,Portugal,Fes,Wholesale
CUST00020,Customer 00020,Morocco,Agadir,Wholesale
CUST00021,Customer 00021,France,Agadir,Restaurant
CUST00022,Customer 00022,France,Barcelona,Wholesale
CUST00023,Customer 00023,France,Madrid,Distributor
CUST00024,Customer 00024,Morocco,Barcelona,Wholesale
CUST00025,Customer 00025,Portugal,Valencia,Distributor
CUST00026,Customer 00026,France,Barcelona,Wholesale
CUST00027,Customer 00027,Spain,Tangier,Wholesale
CUST00028,Customer 00028,Spain,Rabat,Distributor
CUST00029,Customer 00029,France,Marrakesh,Wholesale
CUST00030,Customer 00030,Spain,Madrid,Retail
CUST00031,Customer 00031,Portugal,Madrid,Wholesale
CUST00032,Customer 00032,Morocco,Casablanca,Distributor
CUST00033,Customer 00033,France,Marrakesh,Restaurant
CUST00034,Customer 00034,Morocco,Agadir,Retail
CUST00035,Customer 00035,Spain,Rabat,Wholesale
CUST00036,Customer 00036,France,Barcelona,Restaurant
CUST00037,Customer 00037,Morocco,Rabat,Restaurant
CUST00038,Customer 00038,Morocco,Milan,Retail
CUST00039,Customer 00039,France,Agadir,Restaurant
CUST00040,Customer 00040,Morocco,Paris,Distributor
CUST00041,Customer 00041,France,Paris,Restaurant
CUST00042,Customer 00042,France,Milan,Wholesale
CUST00043,Customer 00043,Spain,Rabat,Wholesale
CUST00044,Customer 00044,Portugal,Madrid,Wholesale
CUST00045,Customer 00045,Portugal,Fes,Distributor
CUST00046,Customer 00046,Morocco,Fes,Wholesale
CUST00047,Customer 00047,Spain,Tangier,Wholesale
CUST00048,Customer 00048,Spain,Marrakesh,Wholesale
CUST00049,Customer 00049,Spain,Valencia,Distributor
CUST00050,Customer 00050,France,Milan,Restaurant
CUST00051,Customer 00051,Portugal,Milan,Retail
CUST00052,Customer 00052,France,Rabat,Restaurant
CUST00053,Customer 00053,Morocco,Agadir,Retail
CUST00054,Customer 00054,Morocco,Tangier,Wholesale
CUST00055,Customer 00055,Spain,Agadir,Restaurant
CUST00056,Customer 00056,Portugal,Agadir,Wholesale
CUST00057,Customer 00057,France,Agadir,Distributor
CUST00058,Customer 00058,Morocco,Milan,Distributor
CUST00059,Customer 00059,Spain,Rabat,Distributor
CUST00060,Customer 00060,Portugal,Barcelona,Restaurant
CUST00061,Customer 00061,Portugal,Fes,Retail
CUST00062,Customer 00062,Portugal,Istanbul,Restaurant
CUST00063,Customer 00063,Spain,Valencia,Distributor
CUST00064,Customer 00064,Morocco,Istanbul,Restaurant
CUST00065,Customer 00065,Morocco,Barcelona,Retail
CUST00066,Customer 00066,Spain,Fes,Wholesale
CUST00067,Customer 00067,Morocco,Fes,Distributor
CUST00068,Customer 00068,Spain,Madrid,Restaurant
CUST00069,Customer 00069,France,Istanbul,Restaurant
CUST00070,Customer 00070,Spain,Madrid,Wholesale
CUST00071,Customer 00071,Spain,Paris,Restaurant
CUST00072,Customer 00072,Spain,Milan,Wholesale
CUST00073,Customer 00073,Morocco,Milan,Restaurant
CUST00074,Customer 00074,Spain,Valencia,Retail
CUST00075,Customer 00075,Morocco,Marrakesh,Restaurant
CUST00076,Customer 00076,Morocco,Marrakesh,Wholesale
CUST00077,Customer 00077,France,Milan,Distributor
CUST00078,Customer 00078,Spain,Barcelona,Wholesale
CUST00079,Customer 00079,France,Milan,Restaurant
CUST00080,Customer 00080,Spain,Fes,Restaurant
CUST00081,Customer 00081,Morocco,Paris,Retail
CUST00082,Customer 00082,Spain,Barcelona,Distributor
CUST00083,Customer 00083,Spain,Tangier,Wholesale
CUST00084,Customer 00084,Morocco,Istanbul,Retail
CUST00085,Customer 00085,Portugal,Valencia,Restaurant
CUST00086,Customer 00086,Morocco,Agadir,Distributor
CUST00087,Customer 00087,Portugal,Tangier,Distributor
CUST00088,Customer 00088,Portugal,Tangier,Wholesale
CUST00089,Customer 00089,France,Rabat,Restaurant
