product_id,product_name,category,unit_cost,unit_price
PROD00001,Chickpeas 001,Vegetables,31.56,50.29
PROD00002,Sunflower Oil 002,Seeds,24.25,35.49
PROD00003,Potatoes 003,Vegetables,16.81,20.98
PROD00004,Sunflower Seeds 004,Oils,59.39,69.93
PROD00005,Bananas 005,Fruits,5.91,8.06
PROD00006,Bananas 006,Fruits,76.94,91.25
PROD00007,Almonds 007,Fruits,48.41,70.38
PROD00008,Almonds 008,Seeds,11.35,17.6
PROD00009,Corn 009,Oils,48.37,69.11
PROD00010,Chickpeas 010,Legumes,47.53,65.84
PROD00011,Chickpeas 011,,54.24,70.04
PROD00012,Olive Oil 012,,12.21,17.59
PROD00013,Tomatoes 013,,74.46,116.98
PROD00014,Oranges 014,,50.45,70.8
PROD00015,Apples 015,,43.94,60.53
PROD00016,Wheat 016,Grains,70.71,109.29
PROD00017,Lentils 017,Grains,14.3,21.81
PROD00018,Tomatoes 018,Oils,78.74,119.15
PROD00019,Oranges 019,Legumes,65.73,84.44
PROD00020,Apples 020,Vegetables,22.63,35.08
PROD00021,Sunflower Seeds 021,Grains,23.98,29.85
PROD00022,Sunflower Oil 022,Vegetables,55.62,85.31
PROD00023,Onions 023,Grains,72.62,111.16
PROD00024,Tomatoes 024,Legumes,35.04,44.66
PROD00025,Chickpeas 025,Grains,62.15,89.29
PROD00026,Corn 026,Vegetables,59.82,83.64
PROD00027,Apples 027,Oils,2.75,3.26
PROD00028,Apples 028,Oils,4.81,6.33
PROD00029,Potatoes 029,Seeds,11.94,15.39
PROD00030,Oranges 030,Grains,18.39,23.21
PROD00031,Corn 031,Grains,62.85,97.28
PROD00032,Almonds 032,Oils,60.46,94.72
PROD00033,Corn 033,Vegetables,78.14,118.37
PROD00034,Corn 034,Fruits,15.99,25.04
PROD00035,Chickpeas 035,Legumes,69.4,105.13
PROD00036,Potatoes 036,Vegetables,63.42,76.02
PROD00037,Olive Oil 037,Seeds,19.35,29.36
PROD00038,Almonds 038,Grains,25.8,38.9
PROD00039,Sunflower Seeds 039,Vegetables,3.85,4.76
PROD00040,Chickpeas 040,Grains,69.42,110.04
