purchase_id,supplier_id,product_id,warehouse_id,order_date,expected_date,received_date,quantity,unit_cost
PO000001,SUP0058,PROD00199,WH008,2024-04-12,2024-04-23,2024-05-05,2209,8.58
PO000002,SUP0012,PROD00217,WH006,2025-03-11,2025-04-03,2025-04-13,1536,50.45
PO000003,SUP0012,PROD00021,WH009,2024-09-27,2024-10-15,2024-10-25,2809,60.12
PO000004,SUP0020,PROD00254,WH009,2024-04-16,2024-05-05,2024-05-09,4308,51.25
PO000005,SUP0060,PROD00224,WH002,2024-03-12,2024-03-19,2024-03-25,3922,58.35
PO000006,SUP0017,PROD00154,WH004,2025-12-01,2025-12-15,2025-12-16,4295,15.99
PO000007,SUP0073,PROD00025,WH009,2024-01-21,2024-02-08,2024-02-14,636,62.85
PO000008,SUP0014,PROD00262,WH007,2025-09-06,2025-09-12,2025-09-25,3393,27.72
PO000009,SUP0073,PROD00130,WH006,2024-05-01,2024-05-09,2024-05-20,2097,69.81
PO000010,SUP0065,PROD00009,WH002,2025-04-11,2025-05-04,2025-05-03,3801,67.92
PO000011,SUP0051,PROD00024,WH002,2024-08-02,2024-08-12,2024-08-14,3419,23.55
PO000012,SUP0041,PROD00233,WH011,2024-11-26,2024-12-23,2024-12-29,3695,4.55
PO000013,SUP0044,PROD00096,WH004,2025-04-03,2025-04-27,2025-05-02,1526,60.25
PO000014,SUP0014,PROD00223,WH009,2024-03-28,2024-04-04,2024-04-09,156,76.2
PO000015,SUP0015,PROD00007,WH003,2025-01-07,2025-01-12,2025-01-21,3918,25.08
PO000016,SUP0078,PROD00250,WH005,2024-04-09,2024-04-28,2024-05-07,2965,6.27
PO000017,SUP0039,PROD00045,WH003,2025-10-25,2025-11-21,2025-11-30,1116,30.65
PO000018,SUP0015,PROD00009,WH012,2024-05-10,2024-05-15,2024-05-18,1551,43.43
PO000019,SUP0062,PROD00075,WH011,2025-10-23,2025-10-28,2025-10-31,1990,68.37
PO000020,SUP0025,PROD00045,WH005,2024-11-04,2024-11-22,2024-12-06,3806,5.38
PO000021,SUP0055,PROD00012,WH002,2024-12-09,2024-12-18,2024-12-30,1370,60.12
PO000022,SUP0063,PROD00242,WH001,2025-05-06,2025-05-15,2025-05-26,3692,63.05
PO000023,SUP0026,PROD00151,WH010,2025-02-17,2025-03-12,2025-03-16,3219,37.39
PO000024,SUP0002,PROD00053,WH011,2025-01-20,2025-01-26,2025-02-02,3547,69.89
PO000025,SUP0075,PROD00284,WH005,2024-07-10,2024-07-28,2024-08-09,313,79.03
PO000026,SUP0063,PROD00263,WH010,2024-10-03,2024-10-23,2024-11-01,4006,65.84
PO000027,SUP0068,PROD00010,WH007,2024-06-09,2024-06-21,2024-06-19,4731,27.72
PO000028,SUP0009,PROD00138,WH011,2025-04-04,2025-04-19,2025-05-03,3427,2.75
PO000029,SUP0064,PROD00178,WH008,2024-11-09,2024-11-29,2024-11-29,3583,11.84
