sale_id,customer_id,product_id,warehouse_id,sale_date,quantity,unit_price,discount
SALE0000001,CUST01012,PROD00282,WH012,2024-07-16,89,77.3,0.129
SALE0000002,CUST00959,PROD00019,WH001,2025-01-31,60,84.44,0.14
SALE0000003,CUST00511,PROD00216,WH011,2025-08-13,121,5.99,0.143
SALE0000004,CUST01822,PROD00002,WH009,2025-12-17,291,35.49,0.046
SALE0000005,CUST00047,PROD00126,WH004,2024-10-11,244,95.7,0.029
SALE0000006,CUST00136,PROD00023,WH001,2024-09-12,41,111.16,0.082
SALE0000007,CUST00237,PROD00247,WH010,2024-04-06,357,13.89,0.064
SALE0000008,CUST00319,PROD00134,WH007,2025-09-25,457,81.62,0.002
SALE0000009,CUST01719,PROD00079,WH012,2024-07-31,284,41.08,0.013
SALE0000010,CUST01189,PROD00169,WH006,2025-11-09,353,60.71,0.106
SALE0000011,CUST01208,PROD00022,WH012,2024-01-31,284,85.31,0.055
SALE0000012,CUST01059,PROD00211,WH007,2024-03-13,405,97.56,0.068
SALE0000013,CUST00796,PROD00210,WH007,2025-09-26,453,34.1,0.073
SALE0000014,CUST00616,PROD00014,WH010,2025-12-11,326,70.8,0.05
SALE0000015,CUST00441,PROD00125,WH005,2025-04-17,384,19.14,0.091
SALE0000016,CUST00702,PROD00137,WH010,2024-11-04,274,78.59,0.128
SALE0000017,CUST00939,PROD00169,WH011,2025-10-25,114,60.71,0.02
SALE0000018,CUST00939,PROD00193,WH008,2024-01-17,216,37.92,0.102
SALE0000019,CUST01126,PROD00290,WH004,2025-05-03,452,12.36,0.025
SALE0000020,CUST00832,PROD00120,WH009,2024-04-13,283,108.7,0.113
SALE0000021,CUST00353,PROD00189,WH002,2025-07-22,365,40.1,0.086
SALE0000022,CUST01850,PROD00123,WH005,2025-06-10,198,102.92,0.018
SALE0000023,CUST00131,PROD00014,WH001,2024-01-15,200,70.8,0.109
SALE0000024,CUST00700,PROD00259,WH001,2024-11-28,332,49.02,0.128
SALE0000025,CUST01101,PROD00009,WH003,2024-04-09,179,69.11,0.106
SALE0000026,CUST00345,PROD00076,WH011,2025-12-24,203,3.22,0.092
SALE0000027,CUST00945,PROD00063,WH008,2024-07-07,147,28.83,0.05
SALE0000028,CUST00658,PROD00101,WH011,2025-10-14,259,90.55,0.149
SALE0000029,CUST01724,PROD00258,WH010,2024-04-13,289,71.34,0.062
SALE0000030,CUST00006,PROD00185,WH004,2024-04-03,402,75.95,0.134
SALE0000031,CUST01337,PROD00247,WH004,2025-08-14,178,13.89,0.065
SALE0000032,CUST01924,PROD00211,WH005,2024-08-22,283,97.56,0.033
SALE0000033,CUST01566,PROD00246,WH010,2024-06-22,375,7.69,0.056
SALE0000034,CUST00473,PROD00057,WH004,2025-08-08,218,97.97,0.089
SALE0000035,CUST01243,PROD00140,WH008,2025-09-16,477,56.32,0.11
SALE0000036,CUST00916,PROD00011,WH005,2025-10-30,190,70.04,0.001
SALE0000037,CUST00472,PROD00051,WH004,2024-01-13,441,30.25,0.051
SALE0000038,CUST01421,PROD00011,WH002,2024-02-03,253,70.04,0.143
SALE0000039,CUST00303,PROD00140,WH007,2025-09-03,463,56.32,0.057
SALE0000040,CUST01259,PROD00072,WH002,2025-10-29,201,38.85,0.13
SALE0000041,CUST01668,PROD00283,WH007,2024-08-13,93,53.61,0.027
SALE0000042,CUST01670,PROD00074,WH001,2024-01-17,175,10.46,0.094
SALE0000043,CUST01727,PROD00018,WH002,2025-06-02,182,119.15,0.091
SALE0000044,CUST01029,PROD00106,WH011,2025-01-26,481,84.22,0.113
SALE0000045,CUST01314,PROD00209,WH004,2025-11-30,253,22.71,0.055
SALE0000046,CUST00301,PROD00173,WH004,2025-07-15,379,77.87,0.126
SALE0000047,CUST01460,PROD00101,WH004,2024-11-01,323,90.55,0.099
SALE0000048,CUST00426,PROD00275,WH002,2024-10-28,49,50.24,0.004
SALE0000049,CUST00785,PROD00204,WH012,2025-03-09,129,20.57,0.03
SALE0000050,CUST01943,PROD00192,WH002,2024-05-26,248,36.73,0.09
SALE0000051,CUST00755,PROD00209,WH011,2024-09-03,273,22.71,0.118
SALE0000052,CUST01469,PROD00131,WH006,2024-01-17,460,28.96,0.132
SALE0000053,CUST00295,PROD00221,WH003,2024-08-13,83,79.82,0.115
SALE0000054,CUST01159,PROD00069,WH002,2025-02-21,496,50.05,0.111
SALE0000055,CUST00233,PROD00118,WH011,2024-08-31,398,37.57,0.08
SALE0000056,CUST00551,PROD00263,WH001,2024-03-23,472,7.79,0.001
SALE0000057,CUST00275,PROD00254,WH006,2024-03-27,76,62.93,0.005
SALE0000058,CUST00547,PROD00260,WH004,2024-08-28,382,34.73,0.043
SALE0000059,CUST00557,PROD00154,WH009,2025-03-19,333,15.64,0.019
SALE0000060,CUST00832,PROD00101,WH012,2024-01-03,270,90.55,0.139
SALE0000061,CUST00263,PROD00053,WH006,2025-09-24,204,61.83,0.143
SALE0000062,CUST00912,PROD00252,WH012,2024-12-02,298,23.56,0.147
SALE0000063,CUST00945,PROD00008,WH004,2024-08-21,276,17.6,0.083
SALE0000064,CUST01739,PROD00051,WH006,2024-11-20,87,30.25,0.083
SALE0000065,CUST00703,PROD00297,WH001,2024-03-03,316,113.46,0.109
SALE0000066,CUST01881,PROD00265,WH007,2024-02-16,179,54.83,0.059
SALE0000067,CUST00777,PROD00117,WH006,2025-12-01,59,85.92,0.082
SALE0000068,CUST00040,PROD00251,WH003,2025-07-03,399,113.44,0.101
SALE0000069,CUST00593,PROD00161,WH008,2025-10-08,498,59.52,0.025
SALE0000070,CUST00450,PROD00166,WH003,2025-02-27,464,81.16,0.033
SALE0000071,CUST01091,PROD00227,WH008,2024-10-17,230,79.97,0.063
SALE0000072,CUST01177,PROD00126,WH004,2025-10-25,302,95.7,0.132
SALE0000073,CUST01057,PROD00025,WH001,2025-08-25,202,89.29,0.078
SALE0000074,CUST00136,PROD00102,WH004,2025-01-08,76,53.2,0.148
SALE0000075,CUST01927,PROD00011,WH006,2024-04-27,39,70.04,0.13
SALE0000076,CUST00933,PROD00004,WH001,2025-12-16,292,69.93,0.148
SALE0000077,CUST00250,PROD00026,WH006,2024-04-13,296,83.64,0.101
SALE0000078,CUST00136,PROD00113,WH007,2024-03-14,456,111.45,0.044
SALE0000079,CUST01309,PROD00023,WH004,2025-02-18,371,111.16,0.069
SALE0000080,CUST00123,PROD00150,WH009,2024-01-31,184,16.53,0.004
SALE0000081,CUST01232,PROD00120,WH001,2025-09-17,417,108.7,0.119
SALE0000082,CUST00063,PROD00270,WH009,2025-03-27,324,12.73,0.088
SALE0000083,CUST00528,PROD00169,WH012,2024-03-03,36,60.71,0.049
SALE0000084,CUST00378,PROD00132,WH003,2025-06-27,481,49.44,0.014
SALE0000085,CUST01269,PROD00178,WH007,2024-04-01,459,10.53,0.092
SALE0000086,CUST01945,PROD00081,WH009,2024-06-04,470,68.03,0.015
SALE0000087,CUST00022,PROD00084,WH003,2024-12-04,63,41.03,0.004
SALE0000088,CUST00707,PROD00153,WH002,2024-04-09,268,42.8,0.048
SALE0000089,CUST00331,PROD00014,WH012,2025-08-05,460,70.8,0.034
SALE0000090,CUST01234,PROD00080,WH002,2025-08-05,283,20.23,0.122
SALE0000091,CUST01147,PROD00167,WH005,2024-04-15,493,98.71,0.065
SALE0000092,CUST01061,PROD00046,WH005,2025-05-07,93,19.69,0.115
SALE0000093,CUST00988,PROD00024,WH003,2024-04-05,42,44.66,0.095
SALE0000094,CUST01311,PROD00162,WH010,2025-09-28,260,35.45,0.126
SALE0000095,CUST01853,PROD00007,WH006,2024-02-16,437,70.38,0.007
SALE0000096,CUST00947,PROD00009,WH006,2024-01-09,478,69.11,0.033
SALE0000097,CUST00021,PROD00169,WH011,2024-03-09,395,60.71,0.115
SALE0000098,CUST01993,PROD00194,WH009,2025-09-23,41,91.67,0.047
SALE0000099,CUST01759,PROD00158,WH010,2025-08-24,114,109.36,0.095
SALE0000100,CUST00426,PROD00028,WH005,2025-08-18,25,6.33,0.018
SALE0000101,,PROD00284,WH004,2024-09-15,371,9.82,0.035
SALE0000102,,PROD00179,WH008,2025-03-13,145,81.05,0.097
SALE0000103,,PROD00068,WH004,2024-09-03,413,28.03,0.141
SALE0000104,,PROD00207,WH006,2024-04-26,82,45.59,0.106
SALE0000105,,PROD00051,WH006,2024-03-02,456,30.25,0.112
SALE0000106,,PROD00126,WH001,2025-03-23,192,95.7,0.007
SALE0000107,,PROD00022,WH006,2024-05-17,260,85.31,0.002
SALE0000108,,PROD00101,WH001,2024-03-16,295,90.55,0.024
SALE0000109,,PROD00201,WH009,2024-06-06,449,52.36,0.087
SALE0000110,,PROD00035,WH006,2024-10-03,300,105.13,0.147
SALE0000111,CUST00907,PROD00049,WH006,2024-01-22,162,40.57,0.088
SALE0000112,CUST01567,PROD00070,WH011,2024-04-20,34,72.39,0.02
SALE0000113,CUST01586,PROD00035,WH003,2025-02-06,453,105.13,0.075
SALE0000114,CUST01685,PROD00236,WH011,2024-10-01,299,110.52,0.082
SALE0000115,CUST00315,PROD00046,WH012,2025-07-06,21,19.69,0.123
SALE0000116,CUST00741,PROD00254,WH005,2025-04-16,83,62.93,0.007
SALE0000117,CUST00459,PROD00242,WH002,2025-11-12,175,87.32,0.003
SALE0000118,CUST01029,PROD00040,WH001,2025-10-24,45,110.04,0.114
SALE0000119,CUST00815,PROD00292,WH002,2024-04-23,207,39.7,0.108
SALE0000120,CUST01859,PROD00051,WH005,2025-10-14,337,30.25,0.105
SALE0000121,CUST00422,PROD00054,WH002,2024-02-19,338,32.75,0.082
SALE0000122,CUST01031,PROD00001,WH011,2024-03-31,489,50.29,0.005
SALE0000123,CUST00266,PROD00232,WH009,2024-11-05,76,60.74,0.019
SALE0000124,CUST01506,PROD00094,WH005,2025-04-04,500,93.48,0.12
SALE0000125,CUST00259,PROD00113,WH008,2025-03-24,249,111.45,0.146
SALE0000126,CUST00163,PROD00158,WH001,2024-11-02,257,109.36,0.042
SALE0000127,CUST00872,PROD00116,WH009,2025-06-15,459,25.83,0.038
SALE0000128,CUST00297,PROD00273,WH006,2025-10-22,56,39.4,0.137
SALE0000129,CUST01110,PROD00243,WH004,2024-08-28,458,53.0,0.111
SALE0000130,CUST00039,PROD00245,WH009,2024-11-06,152,15.09,0.143
SALE0000131,CUST00706,PROD00277,WH007,2025-07-15,348,12.68,0.04
SALE0000132,CUST01458,PROD00199,WH003,2025-08-22,99,19.1,0.026
SALE0000133,CUST01501,PROD00078,WH006,2024-07-06,463,25.72,0.038
SALE0000134,CUST00663,PROD00120,WH005,2024-01-29,45,108.7,0.106
SALE0000135,CUST01244,PROD00225,WH002,2024-12-29,107,110.1,0.12
SALE0000136,CUST01604,PROD00179,WH005,2025-09-23,190,81.05,0.108
SALE0000137,CUST00378,PROD00144,WH003,2024-03-19,227,57.31,0.021
SALE0000138,CUST00232,PROD00233,WH009,2025-10-04,438,42.25,0.036
SALE0000139,CUST01078,PROD00193,WH005,2024-06-01,372,37.92,0.083
SALE0000140,CUST01808,PROD00194,WH004,2025-06-07,471,91.67,0.134
SALE0000141,CUST01160,PROD00236,WH010,2024-01-26,334,110.52,0.075
SALE0000142,CUST00230,PROD00277,WH001,2025-08-26,391,12.68,0.014
SALE0000143,CUST00961,PROD00251,WH002,2024-05-31,64,113.44,0.042
SALE0000144,CUST00918,PROD00252,WH003,2025-01-01,440,23.56,0.059
SALE0000145,CUST00645,PROD00016,WH012,2024-05-04,241,109.29,0.091
SALE0000146,CUST01024,PROD00196,WH003,2025-12-19,487,32.11,0.107
SALE0000147,CUST00214,PROD00276,WH009,2024-07-29,378,46.47,0.072
SALE0000148,CUST01508,PROD00171,WH008,2025-08-24,334,93.24,0.037
SALE0000149,CUST01263,PROD00195,WH006,2024-01-10,351,64.58,0.001
SALE0000150,CUST00567,PROD00165,WH012,2024-08-08,457,50.38,0.104
SALE0000151,CUST00459,PROD00187,WH007,2024-03-22,148,4.13,0.065
SALE0000152,CUST01252,PROD00239,WH007,2025-05-30,20,46.63,0.017
SALE0000153,CUST00982,PROD00198,WH005,2024-02-03,3,73.99,0.085
SALE0000154,CUST01692,PROD00268,WH007,2024-07-01,217,44.87,0.028
SALE0000155,CUST00512,PROD00119,WH005,2025-09-30,485,6.52,0.062
SALE0000156,CUST01176,PROD00062,WH012,2024-04-14,351,61.28,0.068
SALE0000157,CUST00232,PROD00214,WH006,2024-12-20,61,73.05,0.107
SALE0000158,CUST00538,PROD00124,WH004,2024-09-01,14,56.89,0.091
SALE0000159,CUST00154,PROD00280,WH008,2025-03-07,384,82.84,0.111
SALE0000160,CUST01847,PROD00061,WH011,2025-04-11,282,77.3,0.14
SALE0000161,CUST01848,PROD00120,WH012,2025-11-21,463,108.7,0.112
SALE0000162,CUST01829,PROD00260,WH012,2024-12-21,2,34.73,0.001
SALE0000163,CUST00427,PROD00223,WH010,2025-09-22,42,29.04,0.094
SALE0000164,CUST00252,PROD00291,WH008,2024-04-30,277,91.27,0.115
SALE0000165,CUST01990,PROD00064,WH007,2025-02-23,54,71.08,0.005
SALE0000166,CUST01471,PROD00074,WH005,2024-11-27,304,10.46,0.054
SALE0000167,CUST00555,PROD00155,WH002,2024-12-16,220,6.09,0.085
SALE0000168,CUST01663,PROD00190,WH004,2025-10-10,337,84.21,0.078
SALE0000169,CUST01775,PROD00121,WH003,2025-09-07,305,98.68,0.15
SALE0000170,CUST01395,PROD00072,WH001,2025-12-18,135,38.85,0.021
SALE0000171,CUST00202,PROD00146,WH005,2024-06-23,366,51.56,0.008
SALE0000172,CUST01073,PROD00219,WH001,2024-04-20,52,40.83,0.069
SALE0000173,CUST01851,PROD00125,WH009,2024-11-09,423,19.14,0.031
SALE0000174,CUST01949,PROD00179,WH004,2025-01-26,218,81.05,0.013
SALE0000175,CUST01423,PROD00290,WH009,2024-12-15,62,12.36,0.033
SALE0000176,CUST00943,PROD00198,WH011,2025-08-08,147,73.99,0.094
SALE0000177,CUST01067,PROD00196,WH001,2024-11-13,254,32.11,0.033
SALE0000178,CUST01399,PROD00115,WH001,2024-02-11,146,75.27,0.13
SALE0000179,CUST01453,PROD00178,WH004,2024-01-25,488,10.53,0.147
SALE0000180,CUST00629,PROD00030,WH008,2025-01-31,178,23.21,0.029
SALE0000181,CUST01376,PROD00154,WH004,2024-03-19,165,15.64,0.075
