supplier_id,supplier_name,country,city,status
SUP0001,Supplier Company 001,Spain,Casablanca,Active
SUP0002,Supplier Company 002,Italy,Tangier,Active
SUP0003,Supplier Company 003,Spain,Milan,Active
SUP0004,Supplier Company 004,Portugal,Casablanca,Active
SUP0005,Supplier Company 005,Spain,Tangier,Active
SUP0006,Supplier Company 006,Morocco,Valencia,Active
SUP0007,Supplier Company 007,Portugal,Tangier,Inactive
SUP0008,Supplier Company 008,Turkey,Casablanca,Active
SUP0009,Supplier Company 009,Portugal,Fes,Active
SUP0010,Supplier Company 010,France,Tangier,Active
SUP0011,Supplier Company 011,Spain,Rabat,Inactive
SUP0012,Supplier Company 012,Spain,Fes,Active
SUP0013,Supplier Company 013,Turkey,Casablanca,Inactive
SUP0014,Supplier Company 014,Spain,Barcelona,Active
SUP0015,Supplier Company 015,Turkey,Milan,Active
SUP0016,Supplier Company 016,Italy,Istanbul,Active
SUP0017,Supplier Company 017,Morocco,Milan,Active
SUP0018,Supplier Company 018,Turkey,Rabat,Active
SUP0019,Supplier Company 019,Spain,Barcelona,Active
SUP0020,Supplier Company 020,Netherlands,Milan,Active
SUP0021,Supplier Company 021,France,Fes,Active
SUP0022,Supplier Company 022,Italy,Milan,Active
SUP0023,Supplier Company 023,Spain,Paris,Active
SUP0024,Supplier Company 024,Italy,Marrakesh,Inactive
SUP0025,Supplier Company 025,Portugal,Agadir,Active
SUP0026,Supplier Company 026,Egypt,Casablanca,Active
SUP0027,Supplier Company 027,Morocco,Fes,Inactive
SUP0028,Supplier Company 028,Turkey,Rabat,Active
SUP0029,Supplier Company 029,Egypt,Tangier,Inactive
SUP0030,Supplier Company 030,Portugal,Milan,Inactive
SUP0031,Supplier Company 031,France,Agadir,Active
SUP0032,Supplier Company 032,Italy,Istanbul,Active
SUP0033,Supplier Company 033,Portugal,Paris,Inactive
SUP0034,Supplier Company 034,Egypt,Tangier,Active
SUP0035,Supplier Company 035,Netherlands,Rabat,Active
SUP0036,Supplier Company 036,Spain,Marrakesh,Active
SUP0037,Supplier Company 037,Portugal,Paris,Active
SUP0038,Supplier Company 038,Portugal,Barcelona,Inactive
SUP0039,Supplier Company 039,Turkey,Valencia,Active
SUP0040,Supplier Company 040,Spain,Milan,Active
SUP0041,Supplier Company 041,Egypt,Rabat,Active
SUP0042,Supplier Company 042,Portugal,Marrakesh,Inactive
SUP0043,Supplier Company 043,Morocco,Istanbul,Active
SUP0044,Supplier Company 044,France,Valencia,Active
SUP0045,Supplier Company 045,Turkey,Milan,Active
SUP0046,Supplier Company 046,France,Fes,Active
SUP0047,Supplier Company 047,Morocco,Paris,Active
SUP0048,Supplier Company 048,Netherlands,Casablanca,Active
SUP0049,Supplier Company 049,Egypt,Agadir,Active
SUP0050,Supplier Company 050,Morocco,Tangier,Active
SUP0051,Supplier Company 051,Spain,Istanbul,Inactive
SUP0052,Supplier Company 052,Spain,Valencia,Active
SUP0053,Supplier Company 053,France,Milan,Inactive
SUP0054,Supplier Company 054,France,Agadir,Inactive
SUP0055,Supplier Company 055,Italy,Valencia,Active
SUP0056,Supplier Company 056,Turkey,Barcelona,Active
SUP0057,Supplier Company 057,Netherlands,Valencia,Inactive
SUP0058,Supplier Company 058,Spain,Tangier,Active
SUP0059,Supplier Company 059,Spain,Fes,Active
SUP0060,Supplier Company 060,Italy,Paris,Active
SUP0061,Supplier Company 061,Morocco,Rabat,Active
SUP0062,Supplier Company 062,Italy,Rabat,Active
SUP0063,Supplier Company 063,Egypt,Rabat,Active
SUP0064,Supplier Company 064,Turkey,Milan,Inactive
SUP0065,Supplier Company 065,Italy,Valencia,Active
SUP0066,Supplier Company 066,Netherlands,Tangier,Inactive
SUP0067,Supplier Company 067,Portugal,Tangier,Active
SUP0068,Supplier Company 068,Spain,Milan,Inactive
SUP0069,Supplier Company 069,Egypt,Barcelona,Inactive
SUP0070,Supplier Company 070,Netherlands,Istanbul,Active
SUP0071,Supplier Company 071,Spain,Casablanca,Inactive
SUP0072,Supplier Company 072,Egypt,Rabat,Active
SUP0073,Supplier Company 073,Italy,Tangier,Inactive
SUP0074,Supplier Company 074,France,Barcelona,Active
SUP0075,Supplier Company 075,Turkey,Madrid,Active
SUP0076,Supplier Company 076,Spain,Madrid,Active
SUP0077,Supplier Company 077,Morocco,Milan,Active
SUP0078,Supplier Company 078,Spain,Tangier,Active
SUP0079,Supplier Company 079,Portugal,Madrid,Inactive
SUP0080,Supplier Company 080,Italy,Barcelona,Active
